Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

1987
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 80  -47  -74  -03  -45  -74  -81  -58  -09   39   60   43   40
 90 -112  -86  -56  -57  -54  -99 -114  -08  -22   24  -19  -12
100 -193  -87 -113  -76  -36 -101 -142  -71  -63   00  -56 -117

2007
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -226 -318 -326 -338 -368 -208  -15   50  107  111  180  213
 12 -253 -313 -318 -336 -353 -371 -142  -15   60  109  172  226
 15 -266 -296 -317 -321 -320 -330 -329 -245  -70   42  115  192
 20 -231 -226 -250 -278 -304 -318 -324 -333 -343 -319   02  125
 25  -89  -69 -115 -233 -285 -292 -324 -332 -339 -331 -296  -28
 30   54   53   14 -147 -253 -297 -313 -316 -321 -316 -320 -265
 35   82   90   80   22 -184 -262 -293 -288 -298 -289 -290 -306
 40   97  107  111   90  -71 -204 -242 -260 -265 -263 -262 -278
 45  107  111  109  120   49 -126 -171 -212 -221 -218 -230 -249
 50   96  111  103  128   92  -39 -100 -151 -162 -175 -204 -200
 60   55   91   78  114  109   56  -13  -40  -33  -51  -98 -100
 70   41   34   55   91   99   79   21  -08   12   28   04  -30
 80   33  -09   37   26   69   51   16   13   21   16   22  -33
 90   35  -17   17  -17   35  -10  -11  -39  -20  -80   15 -115
100   08  -20  -10  -29   00  -60  -61 -106 -117 -204  -61 -210

2008
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10  176  172  169  114   75   46  -34 -174 -242 -275 -262 -267
 12  175  181  181  126   90   67   22  -57 -122 -185 -227 -278
 15  171  170  181  145  102  123   92   41   34 -105 -189 -245
 20  118  139  190  169  127  168  142  116  127   54  -52  -82
 25   25  125  148  159  121  168  128  129  124   91   43   69
 30 -126   38  112  124  124  157  135  118  105   93   75  111
 35 -302 -130   29   68   99  133  113  112  100   99  100  127
